Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"May 29, 2021","May 29, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,bamboo kids plate set,2,1,50.0000%,$1.15,$1.15,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 31, 2021","Jun 09, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,bamboo kids plates and bowl sets,222,10,4.5045%,$1.50,$15.01,$49.98,30.0320%,3.33,2,2,20.0000%,2,0,$49.98,$0.00
"May 26, 2021","May 26, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,bamboo plate set kids,7,1,14.2857%,$2.47,$2.47,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 29, 2021","May 29, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,grow forward kids bamboo plates and bowl sets,8,1,12.5000%,$1.98,$1.98,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 11, 2021","Jun 11, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,kids 10 inch dinner plate bamboo,1,1,100.0000%,$1.61,$1.61,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 05, 2021","Jun 05, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,kids bamboo plates and bowl sets,5,1,20.0000%,$1.78,$1.78,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 27, 2021","Jun 01, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,kids plates and bowls sets bamboo,43,2,4.6512%,$1.11,$2.22,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 27, 2021","Jun 05, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,kids plates bamboo,31,3,9.6774%,$1.22,$3.67,$49.98,7.3429%,13.62,2,2,66.6667%,1,1,$24.99,$24.99
"May 28, 2021","Jun 12, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo toddler plates,BROAD,bamboo plates for toddlers,29,5,17.2414%,$1.87,$9.35,$49.98,18.7075%,5.35,2,2,40.0000%,2,0,$49.98,$0.00
"May 28, 2021","Jun 06, 2021",Not grouped,USD,Rainforest - Manual,Broad Ad Group,bamboo toddler plates,BROAD,bamboo plates toddler,16,3,18.7500%,$1.71,$5.13,$24.99,20.5282%,4.87,1,1,33.3333%,1,0,$24.99,$0.00
