Start Date,End Date,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),7 Day Total Sales ,Spend,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),Number of Days,Key,Short Key,Impressions Per Day,Spend Per Day,Sales Per Day
29-May-21,29-May-21,Rainforest,Broad Ad Group,bamboo kids plates,BROAD,bamboo kids plate set,2,1,50.00%,1.15,0.0,1.15,0,0.0,1,bamboo kids plate set Rainforest Broad Ad Group bamboo kids plates,bamboo kids plate set Rainforest,2.0,1.15,0.0
31-May-21,9-Jun-21,Rainforest,Broad Ad Group,bamboo kids plates,BROAD,bamboo kids plates and bowl sets,222,10,4.50%,1.5,49.98,15.01,30.03%,3.33,9,bamboo kids plates and bowl sets Rainforest Broad Ad Group bamboo kids plates,bamboo kids plates and bowl sets Rainforest,24.666666666666668,1.6677777777777778,5.553333333333333
26-May-21,26-May-21,Rainforest,Broad Ad Group,bamboo kids plates,BROAD,bamboo plate set kids,7,1,14.29%,2.47,0.0,2.47,0,0.0,1,bamboo plate set kids Rainforest Broad Ad Group bamboo kids plates,bamboo plate set kids Rainforest,7.0,2.47,0.0
29-May-21,29-May-21,Rainforest,Broad Ad Group,bamboo kids plates,BROAD,grow forward kids bamboo plates and bowl sets,8,1,12.50%,1.98,0.0,1.98,0,0.0,1,grow forward kids bamboo plates and bowl sets Rainforest Broad Ad Group bamboo kids plates,grow forward kids bamboo plates and bowl sets Rainforest,8.0,1.98,0.0
11-Jun-21,11-Jun-21,Rainforest,Broad Ad Group,bamboo kids plates,BROAD,kids 10 inch dinner plate bamboo,1,1,100.00%,1.61,0.0,1.61,0,0.0,1,kids 10 inch dinner plate bamboo Rainforest Broad Ad Group bamboo kids plates,kids 10 inch dinner plate bamboo Rainforest,1.0,1.61,0.0
5-Jun-21,5-Jun-21,Rainforest,Broad Ad Group,bamboo kids plates,BROAD,kids bamboo plates and bowl sets,5,1,20.00%,1.78,0.0,1.78,0,0.0,1,kids bamboo plates and bowl sets Rainforest Broad Ad Group bamboo kids plates,kids bamboo plates and bowl sets Rainforest,5.0,1.78,0.0
27-May-21,1-Jun-21,Rainforest,Broad Ad Group,bamboo kids plates,BROAD,kids plates and bowls sets bamboo,43,2,4.65%,1.11,0.0,2.22,0,0.0,5,kids plates and bowls sets bamboo Rainforest Broad Ad Group bamboo kids plates,kids plates and bowls sets bamboo Rainforest,8.6,0.44400000000000006,0.0
27-May-21,5-Jun-21,Rainforest,Broad Ad Group,bamboo kids plates,BROAD,kids plates bamboo,31,3,9.68%,1.22,49.98,3.67,7.34%,13.62,9,kids plates bamboo Rainforest Broad Ad Group bamboo kids plates,kids plates bamboo Rainforest,3.4444444444444446,0.4077777777777778,5.553333333333333
28-May-21,12-Jun-21,Rainforest,Broad Ad Group,bamboo toddler plates,BROAD,bamboo plates for toddlers,29,5,17.24%,1.87,49.98,9.35,18.71%,5.35,15,bamboo plates for toddlers Rainforest Broad Ad Group bamboo toddler plates,bamboo plates for toddlers Rainforest,1.9333333333333333,0.6233333333333333,3.332
28-May-21,6-Jun-21,Rainforest,Broad Ad Group,bamboo toddler plates,BROAD,bamboo plates toddler,16,3,18.75%,1.71,24.99,5.13,20.53%,4.87,9,bamboo plates toddler Rainforest Broad Ad Group bamboo toddler plates,bamboo plates toddler Rainforest,1.7777777777777777,0.57,2.7766666666666664
26-May-21,8-Jun-21,Rainforest,Broad Ad Group,bamboo toddler plates,BROAD,bamboo toddler plates and bowls set,15,4,26.67%,1.43,0.0,5.73,0,0.0,13,bamboo toddler plates and bowls set Rainforest Broad Ad Group bamboo toddler plates,bamboo toddler plates and bowls set Rainforest,1.1538461538461537,0.4407692307692308,0.0
28-May-21,6-Jun-21,Rainforest,Broad Ad Group,bamboo toddler plates,BROAD,toddler bamboo plates,31,5,16.13%,1.89,49.98,9.47,18.95%,5.28,9,toddler bamboo plates Rainforest Broad Ad Group bamboo toddler plates,toddler bamboo plates Rainforest,3.4444444444444446,1.0522222222222224,5.553333333333333
4-Jun-21,4-Jun-21,Rainforest,Broad Ad Group,bamboo toddler plates,BROAD,toddler plates bamboo,7,1,14.29%,2.36,0.0,2.36,0,0.0,1,toddler plates bamboo Rainforest Broad Ad Group bamboo toddler plates,toddler plates bamboo Rainforest,7.0,2.36,0.0
