Start Date,End Date,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS)
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,bamboo kids plate set,2,1,50.00%,1.15,1.15,,0.0
31-May-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,bamboo kids plates and bowl sets,222,10,4.50%,1.5,15.01,30.03%,3.33
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,bamboo plate set kids,7,1,14.29%,2.47,2.47,,0.0
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,grow forward kids bamboo plates and bowl sets,8,1,12.50%,1.98,1.98,,0.0
11-Jun-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,kids 10 inch dinner plate bamboo,1,1,100.00%,1.61,1.61,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,kids bamboo plates and bowl sets,5,1,20.00%,1.78,1.78,,0.0
27-May-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,kids plates and bowls sets bamboo,43,2,4.65%,1.11,2.22,,0.0
27-May-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo kids plates,BROAD,kids plates bamboo,31,3,9.68%,1.22,3.67,7.34%,13.62
28-May-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo toddler plates,BROAD,bamboo plates for toddlers,29,5,17.24%,1.87,9.35,18.71%,5.35
28-May-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo toddler plates,BROAD,bamboo plates toddler,16,3,18.75%,1.71,5.13,20.53%,4.87
26-May-21,8-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo toddler plates,BROAD,bamboo toddler plates and bowls set,15,4,26.67%,1.43,5.73,,0.0
28-May-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo toddler plates,BROAD,toddler bamboo plates,31,5,16.13%,1.89,9.47,18.95%,5.28
4-Jun-21,4-Jun-21,Rainforest - Manual,Broad Ad Group,bamboo toddler plates,BROAD,toddler plates bamboo,7,1,14.29%,2.36,2.36,,0.0
9-Jun-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,10 inch dinner plate for kids,1,1,100.00%,1.36,1.36,,0.0
28-May-21,28-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,ahimsa plates kids,1,1,100.00%,1.58,1.58,,0.0
3-Jun-21,3-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,anime kids plates,2,1,50.00%,1.33,1.33,,0.0
4-Jun-21,4-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,batman plates for kids,13,1,7.69%,0.71,0.71,,0.0
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,bear kids plate set,4,1,25.00%,1.11,1.11,,0.0
9-Jun-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,best eco friendly plates for kids,3,1,33.33%,1.36,1.36,,0.0
6-Jun-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,biobu kids plates,23,1,4.35%,1.35,1.35,,0.0
