Abbrev,order_total,number_items,total_item_quantity,repeat_buyer,State Name,Population,"Orders per capita (100,000)","Totals per capita (100,000)"
AL,917.7000000000002,27,30,6.0,Alabama,4903185.0,5.506624775528559,187.16405764824296
AR,449.7300000000001,13,14,0.0,Arkansas,3017804.0,4.307768165195619,149.02558284103276
AZ,3628.289999999999,117,119,12.0,Arizona,7278717.0,16.07426143920694,498.4793336517959
CA,30642.20000000008,967,993,84.0,California,39512223.0,24.473439522752237,775.5119219690596
CO,5259.669999999996,168,173,28.0,Colorado,5758736.0,29.173068534483956,913.3375796355305
CT,3735.5699999999974,117,120,10.0,Connecticut,3565287.0,32.816432449898144,1047.7613723663756
DC,609.3000000000001,19,20,1.0,District of Columbia,705749.0,26.921752634435187,863.3380989558611
DE,574.7900000000001,17,21,0.0,Delaware,973764.0,17.458028844771423,590.2764940991863
FL,12382.519999999968,401,415,35.0,Florida,21477737.0,18.67049587207442,576.5281509872277
GA,3551.0899999999915,110,117,8.0,Georgia,10617423.0,10.360329432104193,334.4587476640981
HI,444.16000000000014,17,17,2.0,Hawaii,1415872.0,12.006735072096912,313.7006735072098
IA,809.3000000000003,24,25,3.0,Iowa,3155070.0,7.606804286434215,256.50777954213385
ID,1318.9000000000003,44,44,3.0,Idaho,1787065.0,24.621376390897925,738.0257573171655
IL,5885.499999999997,180,187,11.0,Illinois,12671821.0,14.20474610555184,464.45574002347394
IN,1690.4600000000005,55,56,4.0,Indiana,6732219.0,8.169668871437485,251.0999716438221
KS,771.13,24,26,0.0,Kansas,2913314.0,8.238040938944446,264.6916878853429
KY,805.3300000000002,26,27,0.0,Kentucky,4467673.0,5.819584378713482,180.2571495272819
LA,984.9300000000002,31,32,0.0,Louisiana,4648794.0,6.668396147473947,211.86785217843598
MA,7260.070000000018,228,237,23.0,Massachusetts,6892503.0,33.07941976956702,1053.3285223089517
MD,3533.9099999999903,112,119,8.0,Maryland,6045680.0,18.52562490902595,584.5347421629974
ME,958.5900000000001,32,32,0.0,Maine,1344212.0,23.805768732908202,713.1241203024524
MI,5185.009999999983,166,176,15.0,Michigan,9986857.0,16.621846092319135,519.1833626935866
MN,2424.8699999999985,73,78,4.0,Minnesota,5639632.0,12.944106991378161,429.9695441120978
MO,1779.5899999999997,57,60,4.0,Missouri,6137428.0,9.287277993322283,289.9569656866035
MS,217.53,7,7,0.0,Mississippi,2976149.0,2.3520327779287933,73.09109859755006
MT,719.7400000000001,27,27,2.0,Montana,1068778.0,25.262496046887193,673.4232927698737
NC,4895.629999999997,156,162,14.0,North Carolina,10488084.0,14.87402274810156,466.78020504031025
ND,170.68,6,6,0.0,North Dakota,762062.0,7.873375132207091,223.97127792751772
NE,677.8000000000002,18,22,2.0,Nebraska,1934408.0,9.305172435184303,350.39143758710685
NH,934.6800000000002,29,32,1.0,New Hampshire,1359711.0,21.32806162485999,687.4107806732461
NJ,5817.4999999999845,189,192,15.0,New Jersey,8882190.0,21.278536036720674,654.962345998001
NM,588.4999999999998,19,19,0.0,New Mexico,2096829.0,9.06130161305476,280.6618946990908
NV,1438.9399999999996,43,46,6.0,Nevada,3080156.0,13.960331879294426,467.16465010213756
NY,13608.069999999912,433,441,45.0,New York,19453561.0,22.258135669865275,699.5156310970476
OH,3585.0899999999997,113,118,9.0,Ohio,11689100.0,9.667125783849912,306.7036812072785
OK,1065.3799999999997,33,35,0.0,Oklahoma,3956971.0,8.339712370901884,269.2412959306499
OR,3893.789999999986,134,136,13.0,Oregon,4217737.0,31.770591670367313,923.1941204489483
PA,5468.8599999999815,173,179,4.0,Pennsylvania,12801989.0,13.513525124884891,427.18830644206787
RI,492.0400000000001,16,16,2.0,Rhode Island,1059361.0,15.103444434899908,464.46867498425945
SC,1356.6900000000003,42,46,4.0,South Carolina,5148714.0,8.157376774083781,263.5007498959935
SD,386.1600000000001,12,13,0.0,South Dakota,884659.0,13.564548600082066,436.507173950641
TN,1890.6099999999992,61,62,6.0,Tennessee,6829174.0,8.932266186218127,276.84314384140737
TX,10869.129999999972,333,349,20.0,Texas,28995881.0,11.484389800054704,374.85082795035515
UT,1981.5899999999986,63,64,6.0,Utah,3205958.0,19.650912457368438,618.0960574031221
VA,4340.089999999991,138,142,11.0,Virginia,8535519.0,16.16773391284115,508.47405998393197
VT,907.2400000000002,30,31,2.0,Vermont,623989.0,48.07777060172535,1453.9358866903106
WA,8439.290000000008,262,273,20.0,Washington,7614893.0,34.406261519367376,1108.2611403732144
WI,2581.170000000001,79,83,3.0,Wisconsin,5822434.0,13.568208759429476,443.3146000452733
WV,292.41,9,10,0.0,West Virginia,1792147.0,5.021909475059803,163.161838844693
WY,184.64000000000001,6,6,0.0,Wyoming,578759.0,10.36700941151671,319.0274362904076
